호선,역사명,미세먼지,초미세먼지,이산화탄소,포름알데히드,일산화탄소
1호선,서울역,40.6 ,29.3 ,515 ,12.2 ,2.3 
1호선,시청,45.1 ,28.1 ,456 ,9.4 ,2.1 
1호선,종각,44.2 ,25.1 ,511 ,9.0 ,2.7 
1호선,종로3가,61.5 ,32.3 ,457 ,9.0 ,1.1 
1호선,종로5가,106.2 ,62.0 ,541 ,12.5 ,2.2 
1호선,동대문,91.9 ,50.9 ,471 ,13.7 ,1.9 
1호선,동묘앞,61.2 ,37.2 ,528 ,9.6 ,1.9 
1호선,신설동,96.5 ,56.2 ,558 ,9.2 ,2.7 
1호선,제기동,84.3 ,49.1 ,422 ,5.8 ,2.6 
1호선,청량리,34.9 ,19.5 ,447 ,8.3 ,2.6 
2호선,시청,83.6 ,53.1 ,514 ,6.2 ,0.4 
2호선,을지로입구,41.2 ,31.3 ,535 ,6.5 ,0.6 
2호선,을지로3가,63.3 ,42.7 ,455 ,7.6 ,1.0 
2호선,을지로4가,60.1 ,48.0 ,566 ,2.4 ,0.6 
2호선,동대문역사문화공원,51.2 ,36.0 ,464 ,3.2 ,0.6 
2호선,신당,52.2 ,42.0 ,493 ,5.8 ,0.5 
2호선,상왕십리,50.5 ,35.2 ,562 ,4.9 ,0.7 
2호선,왕십리,45.9 ,39.0 ,602 ,7.5 ,0.7 
2호선,잠실,62.4 ,42.2 ,510 ,7.4 ,0.7 
2호선,잠실새내,132.5 ,97.1 ,439 ,5.3 ,0.6 
2호선,종합운동장,51.4 ,38.3 ,591 ,3.9 ,0.3 
2호선,삼성,59.2 ,47.5 ,582 ,5.4 ,0.9 
2호선,선릉,82.8 ,46.2 ,483 ,5.5 ,0.7 
2호선,역삼,57.5 ,40.2 ,534 ,7.4 ,0.7 
2호선,강남,41.2 ,30.8 ,698 ,5.0 ,1.2 
2호선,교대,33.4 ,25.8 ,527 ,7.4 ,1.2 
2호선,서초,54.6 ,32.4 ,555 ,6.1 ,0.9 
2호선,방배,38.5 ,25.4 ,483 ,2.8 ,0.6 
2호선,사당,47.8 ,41.2 ,550 ,3.7 ,0.7 
2호선,낙성대,98.4 ,67.5 ,590 ,3.9 ,0.8 
2호선,서울대입구,65.0 ,39.4 ,471 ,4.1 ,0.7 
2호선,봉천,55.4 ,40.0 ,497 ,3.6 ,0.9 
2호선,신림,82.6 ,40.7 ,530 ,4.0 ,0.8 
2호선,신도림,63.5 ,35.5 ,562 ,5.5 ,0.4 
2호선,문래,50.9 ,37.2 ,522 ,4.2 ,0.7 
2호선,영등포구청,76.6 ,51.0 ,597 ,4.0 ,0.8 
2호선,합정,62.4 ,35.2 ,569 ,6.2 ,0.6 
2호선,홍대입구,80.4 ,38.4 ,597 ,3.1 ,0.8 
2호선,신촌,71.0 ,42.7 ,578 ,4.0 ,1.0 
2호선,이대,87.8 ,55.1 ,523 ,5.8 ,1.2 
2호선,아현,79.6 ,52.4 ,514 ,5.2 ,1.1 
2호선,충정로,67.2 ,54.0 ,511 ,4.1 ,0.9 
2호선,도림천,50.5 ,38.8 ,460 ,4.2 ,0.7 
2호선,양천구청,52.4 ,40.4 ,459 ,4.6 ,0.8 
2호선,신정네거리,52.3 ,42.1 ,472 ,3.6 ,0.7 
2호선,신설동,42.5 ,38.5 ,516 ,6.4 ,3.1 
2호선,용두,51.4 ,36.2 ,484 ,8.1 ,0.8 
3호선,구파발,26.6 ,14.7 ,475 ,2.1 ,0.7 
3호선,연신내,40.6 ,31.8 ,508 ,3.7 ,1.0 
3호선,불광,28.5 ,18.2 ,529 ,4.8 ,0.9 
3호선,녹번,47.0 ,32.0 ,521 ,7.4 ,1.0 
